요구사항ID,요구사항명,하위 요구사항ID,하위 요구사항명,상세 설명
REQ-APP-001,사용자 인증 관리,REQ-APP-001-01,회원가입,이메일과 닉네임과 비밀번호를 입력받아 새로운 계정을 생성한다. 입력 검증 및 중복 확인을 포함한다.
REQ-APP-001,사용자 인증 관리,REQ-APP-001-02,로그인,등록된 이메일과 비밀번호로 로그인하여 JWT 토큰을 발급받는다. 로그인 실패 시 키보드 위에 에러 토스트를 표시한다.
REQ-APP-001,사용자 인증 관리,REQ-APP-001-03,로그아웃,현재 세션을 종료하고 로컬 저장된 토큰을 삭제한다. 확인 다이얼로그를 통해 사용자 의사를 재확인한다.
REQ-APP-001,사용자 인증 관리,REQ-APP-001-04,자동 로그인,로컬에 저장된 토큰을 확인하여 앱 시작 시 자동으로 인증 상태를 복원한다.
REQ-APP-001,사용자 인증 관리,REQ-APP-001-05,자동 토큰 갱신,API 호출 시 401 에러 발생하면 refreshToken을 사용하여 accessToken을 자동으로 갱신한다.
REQ-APP-001,사용자 인증 관리,REQ-APP-001-06,토큰 만료 감지,Dio Interceptor를 통해 HTTP 401 응답을 자동으로 감지하고 토큰 갱신 프로세스를 시작한다.
REQ-APP-001,사용자 인증 관리,REQ-APP-001-07,토큰 갱신 재시도,토큰 갱신 성공 시 원본 API 요청을 새로운 accessToken으로 자동 재시도한다.
REQ-APP-001,사용자 인증 관리,REQ-APP-001-08,리프레시 토큰 만료 처리,refreshToken이 만료되거나 없을 경우 자동으로 로그인 화면으로 리다이렉트한다.
REQ-APP-001,사용자 인증 관리,REQ-APP-001-09,토큰 로컬 저장소 업데이트,토큰 갱신 성공 시 로컬 저장소의 accessToken과 refreshToken을 새 값으로 업데이트한다.
REQ-APP-001,사용자 인증 관리,REQ-APP-001-10,인증 헤더 자동 삽입,API 요청 시 Interceptor가 자동으로 Authorization Bearer 헤더를 추가한다.
REQ-APP-002,XRP 실시간 모니터링,REQ-APP-002-01,실시간 가격 조회,WebSocket을 통해 KRW-XRP 실시간 거래가를 조회하고 표시한다.
REQ-APP-002,XRP 실시간 모니터링,REQ-APP-002-02,캔들스틱 차트,업비트 API를 통해 XRP 캔들 데이터를 조회하고 차트로 시각화한다. 최대 200개 캔들 데이터를 유지한다.
REQ-APP-002,XRP 실시간 모니터링,REQ-APP-002-03,실시간 데이터 스트리밍,Socket.io를 통해 실시간 캔들 및 ticker 데이터를 수신하고 차트를 업데이트한다.
REQ-APP-003,포트폴리오 관리,REQ-APP-003-01,보유 수량 등록,사용자의 XRP 보유 수량을 입력받아 저장한다.
REQ-APP-003,포트폴리오 관리,REQ-APP-003-02,평균 매수가 등록,XRP 평균 매수가를 입력받아 저장한다.
REQ-APP-003,포트폴리오 관리,REQ-APP-003-03,수익률 계산,현재 XRP 가격과 평균 매수가를 비교하여 실시간 수익률을 계산 및 표시한다.
REQ-APP-003,포트폴리오 관리,REQ-APP-003-04,포트폴리오 수정,기존 포트폴리오 정보(수량으로 평균가 및 메모)를 수정할 수 있다.
REQ-APP-004,XRP 관련 콘텐츠 소비,REQ-APP-004-01,뉴스 조회,외부 뉴스 API를 통해 XRP 관련 최신 뉴스를 조회하고 카드 형태로 표시한다.
REQ-APP-004,XRP 관련 콘텐츠 소비,REQ-APP-004-02,뉴스 lazy loading,뉴스목록을 스크롤 시 추가 데이터를 동적으로 로드한다.
REQ-APP-004,XRP 관련 콘텐츠 소비,REQ-APP-004-03,뉴스 상세 보기,뉴스 카드 클릭 시 해당 뉴스의 원본 웹페이지로 이동한다. url_launcher 패키지를 통해 외부 브라우저에서 링크를 연다.
REQ-APP-004,XRP 관련 콘텐츠 소비,REQ-APP-004-04,트위터 조회,Twitter API를 통해 XRP 관련 트윗을 조회하고 표시한다.
REQ-APP-004,XRP 관련 콘텐츠 소비,REQ-APP-004-05,트위터 lazy loading,트위터 피드를 스크롤 시 추가 데이터를 동적으로 로드한다.
REQ-APP-004,XRP 관련 콘텐츠 소비,REQ-APP-004-06,트위터 상세 보기,트위터 카드 클릭 시 해당 트윗의 원본 트위터 페이지로 이동한다. 외부 브라우저 또는 트위터 앱으로 딥링크 연결한다.
REQ-APP-004,XRP 관련 콘텐츠 소비,REQ-APP-004-07,유튜브 영상 조회,YouTube API를 통해 XRP 관련 영상을 조회하고 썸네일과 함께 표시한다.
REQ-APP-004,XRP 관련 콘텐츠 소비,REQ-APP-004-08,유튜브 lazy loading,유튜브 영상목록을 스크롤 시 추가 데이터를 동적으로 로드한다.
REQ-APP-004,XRP 관련 콘텐츠 소비,REQ-APP-004-09,유튜브 모달 재생,"유튜브 영상 카드 클릭 시 앱 내 모달 플레이어를 표시한다.
전체화면 모달로 동영상 재생 인터페이스를 제공한다."
REQ-APP-004,XRP 관련 콘텐츠 소비,REQ-APP-004-10,유튜브 모달 닫기,유튜브 재생 모달에서 닫기 버튼 또는 뒤로 가기 제스처로 모달을 닫고 기존 화면으로 복귀한다.
REQ-APP-005,앱 버전 관리,REQ-APP-005-01,앱 버전 체크,서버 API를 통해 현재 앱 버전이 최신인지 확인한다.
REQ-APP-005,앱 버전 관리,REQ-APP-005-02,네이티브 푸시 알림,앱 버전이 구버전이거나 서비스 점검 시 MethodChannel을 통해 네이티브 푸시 알림을 표시한다.
REQ-APP-005,앱 버전 관리,REQ-APP-005-03,네이티브 진동 피드백,앱 상태 알림 시 MethodChannel을 통해 네이티브 진동을 실행하여 사용자 주의를 집중시킨다.
REQ-APP-005,앱 버전 관리,REQ-APP-005-04,버전 에러 화면,앱 버전이 부적절할 때 사용자에게 업데이트 안내 화면을 표시한다.
REQ-APP-006,탭 기반 네비게이션,REQ-APP-006-01,메인 탭 네비게이션,하단 탭바를 통해 Monitor와 Twitter와 YouTube와 News 그리고 Settings 화면 간 이동이 가능하다.
